Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2023-01-03 00:00:00-05:00;8.187.999.725.341.790;8.198.999.786.376.950;7.923.999.786.376.950;819.000.015.258.789;1286800;00.00;00.00
2023-01-04 00:00:00-05:00;83.00.00;8.337.000.274.658.200;8.087.000.274.658.200;8.133.000.183.105.460;1842900;00.00;00.00
2023-01-05 00:00:00-05:00;8.061.000.061.035.150;8.261.000.061.035.150;7.913.999.938.964.840;8.158.000.183.105.460;1557100;00.00;00.00
2023-01-06 00:00:00-05:00;826.500.015.258.789;84.25.00;798.499.984.741.211;8.354.000.091.552.730;1185100;00.00;00.00
2023-01-09 00:00:00-05:00;8.444.999.694.824.210;8.631.999.969.482.420;8.377.200.317.382.810;8.504.000.091.552.730;1376800;00.00;00.00
2023-01-10 00:00:00-05:00;8.486.000.061.035.150;91.00.00;8.469.000.244.140.620;9.079.000.091.552.730;2044800;00.00;00.00
2023-01-11 00:00:00-05:00;9.131.999.969.482.420;9.327.999.877.929.680;9.008.000.183.105.460;91.75;1631000;00.00;00.00
2023-01-12 00:00:00-05:00;8.913.999.938.964.840;9.166.999.816.894.530;8.841.000.366.210.930;9.119.999.694.824.210;1774400;00.00;00.00
2023-01-13 00:00:00-05:00;9.068.000.030.517.570;9.208.000.183.105.460;9.035.600.280.761.710;9.205.999.755.859.370;2135100;00.00;00.00
2023-01-17 00:00:00-05:00;9.208.000.183.105.460;927.300.033.569.336;9.058.999.633.789.060;91.75;1752100;00.00;00.00
2023-01-18 00:00:00-05:00;927.300.033.569.336;9.355.999.755.859.370;9.094.000.244.140.620;927.300.033.569.336;2235400;00.00;00.00
2023-01-19 00:00:00-05:00;9.137.000.274.658.200;945.199.966.430.664;911.449.966.430.664;9.358.000.183.105.460;2280800;00.00;00.00
2023-01-20 00:00:00-05:00;960.999.984.741.211;9.827.999.877.929.680;9.561.000.061.035.150;9.791.000.366.210.930;2761300;00.00;00.00
2023-01-23 00:00:00-05:00;10.238.999.938.964.800;104.00.00;9.937.999.725.341.790;9.994.000.244.140.620;4690800;00.00;00.00
2023-01-24 00:00:00-05:00;99.00.00;10.051.000.213.623.000;9.794.999.694.824.210;9.929.000.091.552.730;1482200;00.00;00.00
2023-01-25 00:00:00-05:00;9.718.000.030.517.570;10.005.999.755.859.300;943.499.984.741.211;10.002.999.877.929.600;2180400;00.00;00.00
2023-01-26 00:00:00-05:00;10.129.000.091.552.700;10.216.999.816.894.500;9.969.000.244.140.620;10.130.000.305.175.700;1505300;00.00;00.00
2023-01-27 00:00:00-05:00;1.005.199.966.430.660;10.330.999.755.859.300;10.031.999.969.482.400;10.223.999.786.376.900;1753800;00.00;00.00
2023-01-30 00:00:00-05:00;10.106.999.969.482.400;10.243.000.030.517.500;9.980.000.305.175.780;100.00.00;2322800;00.00;00.00
2023-01-31 00:00:00-05:00;10.937.000.274.658.200;11.330.000.305.175.700;10.630.999.755.859.300;11.272.000.122.070.300;9597000;00.00;00.00
2023-02-01 00:00:00-05:00;11.337.000.274.658.200;1.195.999.984.741.210;11.162.999.725.341.700;11.813.999.938.964.800;4556500;00.00;00.00
2023-02-02 00:00:00-05:00;12.077.999.877.929.600;1.239.800.033.569.330;1.188.499.984.741.210;12.256.999.969.482.400;5198400;00.00;00.00
2023-02-03 00:00:00-05:00;11.808.000.183.105.400;12.381.999.969.482.400;1.180.009.994.506.830;12.116.999.816.894.500;2553300;00.00;00.00
2023-02-06 00:00:00-05:00;123.05.00;12.562.999.725.341.700;12.137.000.274.658.200;12.291.999.816.894.500;3348300;00.00;00.00
2023-02-07 00:00:00-05:00;1.217.699.966.430.660;12.604.000.091.552.700;12.136.000.061.035.100;12.537.999.725.341.700;2884800;00.00;00.00
2023-02-08 00:00:00-05:00;1.244.000.015.258.780;1.252.699.966.430.660;12.286.000.061.035.100;12.368.000.030.517.500;1494800;00.00;00.00
2023-02-09 00:00:00-05:00;12.580.000.305.175.700;12.666.000.366.210.900;12.012.000.274.658.200;12.083.000.183.105.400;1433600;00.00;00.00
2023-02-10 00:00:00-05:00;125.00.00;12.779.000.091.552.700;12.412.000.274.658.200;12.516.000.366.210.900;3801200;00.00;00.00
2023-02-13 00:00:00-05:00;12.587.000.274.658.200;12.644.000.244.140.600;12.230.000.305.175.700;12.231.999.969.482.400;1958500;00.00;00.00
2023-02-14 00:00:00-05:00;1.215.199.966.430.660;12.626.000.213.623.000;12.031.999.969.482.400;1.260.999.984.741.210;1435100;00.00;00.00
2023-02-15 00:00:00-05:00;12.537.000.274.658.200;12.867.999.267.578.100;12.488.999.938.964.800;12.827.000.427.246.000;1720300;00.00;00.00
2023-02-16 00:00:00-05:00;12.573.999.786.376.900;12.897.999.572.753.900;12.547.000.122.070.300;12.556.999.969.482.400;1639600;00.00;00.00
2023-02-17 00:00:00-05:00;12.393.000.030.517.500;12.556.999.969.482.400;12.248.999.786.376.900;12.533.000.183.105.400;1438700;00.00;00.00
2023-02-21 00:00:00-05:00;12.111.000.061.035.100;12.377.999.877.929.600;11.926.000.213.623.000;1.203.499.984.741.210;1731500;00.00;00.00
2023-02-22 00:00:00-05:00;120.25.00;12.091.999.816.894.500;11.819.000.244.140.600;12.006.999.969.482.400;1919300;00.00;00.00
2023-02-23 00:00:00-05:00;12.105.000.305.175.700;12.169.999.694.824.200;116.05.00;11.886.000.061.035.100;1356600;00.00;00.00
2023-02-24 00:00:00-05:00;11.644.000.244.140.600;11.741.000.366.210.900;1.149.000.015.258.780;11.713.999.938.964.800;1612200;00.00;00.00
2023-02-27 00:00:00-05:00;11.776.000.213.623.000;118.05.00;1.154.800.033.569.330;11.683.999.633.789.000;1593700;00.00;00.00
2023-02-28 00:00:00-05:00;1.164.800.033.569.330;11.938.999.938.964.800;11.621.800.231.933.500;11.630.000.305.175.700;1198600;00.00;00.00
